gene,species,replicate,exprval
6,5019,R1,23
6,5020,R1,10
6,5022,R1,7
6,5025,R1,12
6,5026,R1,15
6,5027,R1,0
6,5033,R1,3
6,5040,R1,2
6,5043,R1,5
6,5044,R1,2
6,5047,R1,8
6,5051,R1,2
6,5052,R1,5
6,5069,R1,3
6,5070,R1,2
6,5076,R1,7
6,5080,R1,7
6,5084,R1,0
6,5087,R1,2
6,5088,R1,1
6,5089,R1,2
6,5092,R1,7
6,5095,R1,14
6,5096,R1,12
6,5097,R1,10
6,5099,R1,5
6,5100,R1,4
6,5103,R1,6
6,5106,R1,2
6,5107,R1,1
6,5108,R1,2
6,5109,R1,8
6,5111,R1,6
6,5115,R1,6
6,5120,R1,4
6,5121,R1,0
6,5125,R1,11
6,5126,R1,11
6,5127,R1,0
6,5132,R1,8
6,5147,R1,0
6,5149,R1,4
6,5150,R1,7
6,5151,R1,7
6,5153,R1,0
6,5157,R1,3
6,5161,R1,0
6,5168,R1,5
6,5170,R1,5
6,5174,R1,0
6,5175,R1,8
6,5180,R1,3
6,5181,R1,2
6,5182,R1,0
6,5189,R1,8
6,5190,R1,4
6,5193,R1,5
6,5196,R1,0
6,5197,R1,7
6,5206,R1,9
6,5209,R1,6
6,5211,R1,7
6,5215,R1,16
6,5237,R1,9
6,5238,R1,11
6,5239,R1,9
6,5240,R1,13
6,5242,R1,1
6,5244,R1,15
6,5245,R1,7
6,5249,R1,14
6,5254,R1,12
6,5255,R1,7
6,5259,R1,5
6,5261,R1,8
6,5265,R1,0
6,5268,R1,3
6,5271,R1,8
6,5275,R1,3
6,5282,R1,21
6,5288,R1,11
6,5289,R1,11
6,5295,R1,9
6,5297,R1,12
6,5298,R1,11
6,5301,R1,2
6,5303,R1,0
6,5304,R1,0
6,5312,R1,3
6,5318,R1,0
6,5322,R1,7
6,5324,R1,3
6,5325,R1,7
6,5327,R1,10
6,5333,R1,15
6,5336,R1,10
6,5339,R1,9
6,5341,R1,3
6,5345,R1,2
6,5346,R1,2
6,5348,R1,8
6,5349,R1,10
6,5351,R1,16
6,5353,R1,4
6,5356,R1,2
6,5357,R1,3
6,5364,R1,15
6,5365,R1,3
6,5366,R1,2
6,5371,R1,5
6,5375,R1,14
6,5378,R1,1
6,5383,R1,0
6,5385,R1,8
6,5391,R1,6
6,5400,R1,9
6,5401,R1,9
6,5402,R1,8
6,5404,R1,0
6,5405,R1,1
6,5407,R1,11
6,5421,R1,9
6,5426,R1,11
6,5436,R1,11
6,5438,R1,5
6,5443,R1,3
6,5447,R1,8
6,5449,R1,7
6,5450,R1,6
6,5461,R1,10
6,5462,R1,8
6,5464,R1,8
6,5465,R1,6
6,5470,R1,5
6,5475,R1,4
