gene_index	gene	corr_pseudotime_glu	corr_pseudotime_da	corr_da_minus_glu	lavous_p	lavous_q	lavous_signif	lavous_lrt
238	Rnf149	-0.09649714282240142	-0.09745016143136165	-0.0009530186089602294			False	
239	Creg2	0.21306143785506634	0.02980366394501059	-0.18325777391005577			False	
240	D930019O06Rik	0.0551083477591364	0.048773400367332256	-0.006334947391804145			False	
241	Rfx8	0.0031840796155412866	0.016350624303474916	0.013166544687933629			False	
242	Gm3646						False	
243	1700066B17Rik	-0.013675271666428238	-0.025484204686348176	-0.011808933019919938			False	
244	Map4k4	-0.05924462484221239	0.028766920326155382	0.08801154516836777			False	
245	Il1r2		0.03727132422063674				False	
246	Gm16894	0.03326079041653746	0.08564725280032263	0.05238646238378517			False	
247	Il1r1		0.0032160085490749455				False	
248	Il1rl2						False	
249	Il1rl1						False	
250	Il18r1						False	
251	Il18rap						False	
252	Gm35801						False	
253	Slc9a4						False	
254	Slc9a2						False	
255	Gm37623						False	
256	Gm37915						False	
257	Mfsd9	0.10106355763584662	0.060191190406385736	-0.04087236722946089			False	
258	Tmem182	-0.11339685058547451	-0.10326128797908037	0.010135562606394144			False	
259	4930448I06Rik						False	
260	Gm28634						False	
261	Gm29260						False	
262	Gm9915						False	
263	Gm29664						False	
264	Gm28175	0.10026968475611232	0.04566746492162431	-0.054602219834488014			False	
265	Gm28140						False	
266	Pantr1	-0.12158140976522114	0.1740987305408965	0.29568014030611767			False	
267	Gm20646	-0.032276620427869544	0.010714411662156358	0.0429910320900259			False	
268	Pou3f3	-0.09458600476161547	0.08113255053463625	0.17571855529625172			False	
269	Pantr2						False	
270	Dalir		0.06950851857133716				False	
271	Mrps9	-0.0234677485089277	-0.04482157585086656	-0.02135382734193886			False	
272	Gpr45	0.04086562054919555	0.03884712025405525	-0.0020185002951403005			False	
273	Tgfbrap1	0.06894368593373429	0.06293621661460387	-0.006007469319130418			False	
274	Gm28782		0.04209571981737562				False	
275	8430432A02Rik	0.041845369261823695	0.031426797729381305	-0.01041857153244239			False	
276	AI597479	-0.12345660296783362	-0.07077142358537886	0.05268517938245476			False	
277	Fhl2	0.15168133459513644	0.13374879153691052	-0.01793254305822592			False	
278	Gm29040						False	
279	Nck2	-0.2324473878424587	-0.19688670011284953	0.03556068772960916			False	
280	Ecrg4	-0.430333059455853	-0.39382073385845856	0.036512325597394424			False	
281	Gm29155						False	
282	Gm29157	-0.15324687024271336	-0.14013420175685573	0.013112668485857626			False	
283	Gm29156	0.050637368373750616					False	
284	Uxs1	-0.059838655456223466	-0.09127514712132791	-0.03143649166510444			False	
285	Tpp2	-0.128307382005914	-0.03686751758606804	0.09143986441984595			False	
286	Mettl21c	0.09251010271870276	0.04336038012784543	-0.04914972259085733			False	
287	Gm8251	-0.013994544627317205	-0.025510337714933874	-0.011515793087616669			False	
288	Tex30	0.05992873776571615	0.12948105454273234	0.06955231677701619			False	
289	Poglut2	-0.1565179150519604	-0.06828864243540396	0.08822927261655643			False	
290	Bivm	0.117711989300297	0.06151158035510269	-0.05620040894519431			False	
291	Ercc5	-0.016402886661800654	-0.047666656077947636	-0.03126376941614698			False	
292	Mettl21e						False	
293	Gm28893						False	
294	Gulp1	-0.19580599911018265	-0.14160465214474838	0.05420134696543427			False	
295	4930521E06Rik						False	
296	Col3a1	-0.035134937172200176	-0.04840544254519855	-0.013270505372998377			False	
297	Col5a2	-0.3127367249953032	-0.22104959003589433	0.09168713495940886			False	
298	Wdr75	0.1284133176383672	0.07670107472842548	-0.05171224290994171			False	
299	Gm5269						False	
300	Slc40a1	0.07269835145989693	0.04629113471094743	-0.026407216748949504			False	
301	Dnah7b	-0.30656723234727795	-0.20741786370227508	0.09914936864500287			False	
302	Dnah7c	-0.13626281760025466	-0.10851303315498978	0.02774978444526488			False	
303	Slc39a10	0.14158983764128838	0.03930740803245222	-0.10228242960883616			False	
304	Gm28151	-0.09917670342377918	-0.011949856387926762	0.08722684703585243			False	
305	Gm28826						False	
306	C230029F24Rik						False	
307	4933411E06Rik						False	
308	Gm29665						False	
309	Gm28321						False	
310	Tmeff2	0.2569821078681594	0.4245047802625441	0.16752267239438473			False	
311	Gm28322						False	
312	Gm28319						False	
313	Gm28320	0.036763528808939974	0.041053077570481926	0.004289548761541952			False	
314	Gm29325		0.03617568812700346				False	
315	9330175M20Rik						False	
316	Cavin2	0.02769202145284435	-0.011777841551552766	-0.039469863004397115			False	
317	1700072G22Rik						False	
318	Nabp1	0.04734470633752989	0.017413798542448043	-0.02993090779508185			False	
319	Gm17767						False	
320	Gm28055		0.015897540243428373				False	
321	Myo1b	-0.23161303983623896	-0.2415537411323411	-0.009940701296102139			False	
322	Gm29453		0.03286556486013135				False	
323	Gm28323	-0.02915466361599183	0.023102508611527604	0.05225717222751944			False	
324	Stat4		-0.02215768543991671				False	
325	Gm31812	0.04873979916423035					False	
326	Stat1	0.03129485609411952	0.05879557453673751	0.02750071844261799			False	
327	Gls	0.18613450658167663	0.14613342379350402	-0.040001082788172604			False	
328	Nab1	0.015557690560508314	-0.03067640355018386	-0.046234094110692174			False	
329	Gm553						False	
330	Gm28178						False	
331	Nemp2	-0.05929155537721176	-0.09874960953062943	-0.039458054153417674			False	
332	Mfsd6	0.17646986418648444	0.28009394457240366	0.10362408038591922			False	
333	Gm29670		0.04002234224144136				False	
334	Inpp1	0.35302197726741025	0.1757328739179046	-0.17728910334950565			False	
335	Hibch	-0.07532036593655446	-0.05434274411357929	0.02097762182297517			False	
