ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_T1	h1_theta_Met	h0	h1	lrt	p	q	signif
2720	Ccdc9	7.602479	6.563822	1.8407097	-1.3257139	11.993479	6.545771	2.038573	-1.3451687097549438	-1.3482558727264404	710.5505	710.5058	0.08935547	0.7649981481474417	0.8231017665057051	False
3091	Fam188a	12.021852	6.4403048	1.3000249	-1.3872603	115.14755	6.345846	1.7288731	-1.450533151626587	-1.4140368700027466	679.39514	679.3506	0.08911133	0.7653099722799569	0.8232253215335752	False
1914	Myadm	12.538104	6.008748	2.635406	-1.0022335	16.460787	5.966324	2.7155662	-1.010714054107666	-1.0164145231246948	848.3195	848.27515	0.08874512	0.7657785820046011	0.8235174200198734	False
3894	Tcf7l1	3.0420547	6.4317355	2.5033891	-1.6130092	2.5274792	6.4832196	2.333598	-1.5436413288116455	-1.6117602586746216	622.06775	622.0257	0.084106445	0.7718077363100513	0.8297876331463093	False
2574	Cd320	89.46576	6.28161	1.4646615	-0.12960187	131.80806	6.252042	1.5944632	-0.12288253009319305	-0.14630720019340515	1100.4456	1100.4037	0.083740234	0.7722913254611324	0.8300939941106154	False
4005	Dynlt1f	21.674662	6.484687	2.6570854	-0.9087269	40.267185	6.498322	2.7485101	-0.9384142756462097	-0.9080327749252319	906.5292	906.48755	0.08325195	0.7729378969932172	0.8305753333851003	False
2317	Arrdc3	2.6845834	4.293606	4.3079333	-1.4723214	2.6913188	4.2963696	4.2830396	-1.3570338487625122	-1.551332712173462	719.1504	719.11084	0.07910156	0.7785186572158747	0.8363571898470797	False
3795	Nsun2	45.883408	4.98691	2.2644463	-0.14630206	22.127201	5.2210116	2.1899757	-0.17229312658309937	-0.11039318144321442	1097.6057	1097.5665	0.07836914	0.7795197874129706	0.8372174740680556	False
3824	Stim1	0.58933276	6.5720444	1.0959561	-3.1405296	0.7501684	6.568413	1.6422404	-3.1721975803375244	-3.2107577323913574	209.6792	209.64075	0.0769043	0.7815372908088567	0.839168637792963	False
3586	Klhl21	8.503109	6.1264853	2.542048	-1.0680621	10.4079685	6.1158714	2.6539037	-1.0556946992874146	-1.0982158184051514	815.0561	815.0178	0.076538086	0.7820448938768251	0.8394979736735813	False
2708	Vps4a	21.635786	6.4373956	1.1970562	-1.1341217	94.98464	6.4434094	1.383485	-1.1661325693130493	-1.1387419700622559	765.77637	765.74097	0.07080078	0.7901743923683616	0.8480068787127332	False
3217	Tbrg1	9.402517	6.5152545	2.521783	1.3892998	7.1409063	6.5501685	2.1286323	1.3911869525909424	1.4086507558822632	941.4994	941.465	0.068725586	0.7932014424271283	0.8510369262908779	False
4006	Scaf11	33.953575	6.7472577	2.6117785	1.4059931	19.44407	6.6763186	2.3651407	1.410607099533081	1.4203091859817505	942.54425	942.5112	0.06604004	0.7971922317915692	0.8550991623862854	False
3209	Hlf	2.925482	4.9741755	3.1855774	-1.883642	3.5471594	5.238333	3.310026	-1.7371569871902466	-1.9997048377990723	584.57764	584.54486	0.06555176	0.7979270739873894	0.8556456827518136	False
2444	Fbxl5	20.058695	6.4046993	1.4286472	-0.98434	63.30419	6.341698	1.5432731	-0.9744706749916077	-1.007401943206787	821.578	821.5453	0.06542969	0.798111239857997	0.8556456827518136	False
3912	Gstm5	68.168785	6.367148	2.2891073	-0.498269	68.168785	6.367148	2.2889948	-0.49023574590682983	-0.5042070150375366	1000.8169	1000.78687	0.060058594	0.8064033546721443	0.8643138289753504	False
3219	Kat6a	2.5419114	6.554753	1.401196	-2.015941	3.7366714	6.5405674	1.8188646	-2.073014736175537	-2.056326389312744	467.95123	467.92175	0.05895996	0.8081473801808723	0.8659610004553501	False
3332	Ier5l	3.595666	6.0147567	3.6182456	-1.4786361	7.510547	5.8594823	3.947398	-1.5304635763168335	-1.5764111280441284	703.81757	703.7882	0.05871582	0.8085372730820751	0.8661566942348096	False
2508	Rnmt	119.97169	6.3407493	1.8101248	-0.06526414	681.57605	6.384069	1.8371729	-0.15276464819908142	-0.02214297279715538	1118.6812	1118.6538	0.0546875	0.8150986466042485	0.872738212697708	False
2717	Zfp945	2.7637217	6.389354	1.827077	-1.7930493	3.4297147	6.375473	1.8879613	-1.8081252574920654	-1.7992373704910278	550.1581	550.13074	0.0546875	0.8150986466042485	0.872738212697708	False
3024	Apbb1	11.00627	6.369881	1.6409807	-1.1409553	33.60988	6.3222666	1.8979902	-1.1272988319396973	-1.1913052797317505	763.21924	763.19324	0.052001953	0.819615635855513	0.8773498315164419	False
3661	Soat1	3.9089122	5.9139485	2.5370321	-1.6091341	5.061581	5.8320823	2.6854124	-1.630845546722412	-1.6412724256515503	637.17554	637.1504	0.05029297	0.8225542683149027	0.8802699839405835	False
4173	Rps7	95.05618	4.287053	20.40214	31.792185	111.25314	4.613453	21.24425	31.378507614135742	32.10955047607422	-90691.89	-90691.914	0.046875	0.8285930752186466	0.8865054944543583	False
3469	Mef2c	19.909616	5.8797293	3.6773195	-0.8997481	59.37042	5.7827277	3.7675424	-0.8933222889900208	-0.9420446753501892	909.1648	909.14215	0.045288086	0.8314751821570198	0.8893613478971553	False
2954	Trove2	14.416513	6.4548364	1.6140919	-1.119619	48.49599	6.3915944	1.8397138	-1.1122257709503174	-1.1589652299880981	779.9856	779.9645	0.042236328	0.8371699454535131	0.8952234396239077	False
3082	Zc3h18	18.417189	6.4430685	1.488197	-1.0638245	73.41748	6.402262	1.7150826	-1.091132640838623	-1.0810801982879639	798.20825	798.1877	0.041137695	0.8392723666388907	0.897242061955468	False
3781	Loxl3	2.3835278	6.880919	3.3890662	-0.4519626	1.8518162	6.75005	2.8398616	-0.44332820177078247	-0.3656597435474396	965.9214	965.9018	0.03918457	0.8430834568658283	0.9010858737192574	False
3350	Cbr3	2.6536224	6.3686233	2.3336816	-1.6699537	2.27532	6.4267287	2.2091079	-1.6841069459915161	-1.6330339908599854	596.1222	596.10486	0.03466797	0.8522931278293477	0.9106962365632432	False
3833	Clock	4.828571	6.5876536	1.7639414	-1.5217503	5.81151	6.6083508	1.9082772	-1.5707110166549683	-1.5207730531692505	634.1513	634.1354	0.03186035	0.8583344971524988	0.9169171430471095	False
2790	Obsl1	1.5146307	6.1860394	2.6705036	-2.6754544	1.9063964	6.0611005	2.7755969	-2.620366334915161	-2.7488555908203125	340.1692	340.15393	0.030517578	0.8613210171059962	0.9198723563725935	False
4048	Cmas	155.1982	5.807775	1.8112173	-0.23152499	246.8492	5.8147087	1.8262855	-0.1725463718175888	-0.2680650055408478	1080.5804	1080.5664	0.028076172	0.8669298682102731	0.9256259374682502	False
1638	Zzef1	1.2663543	6.5686536	1.6218226	-2.3293016	1.4341718	6.6666703	1.8550628	-2.4293301105499268	-2.3186683654785156	385.42993	385.4163	0.027282715	0.8688063988067176	0.9273925774235691	False
2252	Greb1	0.7964195	6.54035	1.5421894	-2.7565887	0.97324085	6.539841	1.9879739	-2.7997162342071533	-2.806361436843872	297.19467	297.18112	0.02709961	0.8692434110835463	0.9276221182119867	False
